setting,train_tickers,test_case,test_tickers,algo,final_value,total_return,max_drawdown,sharpe,daily_return_mean,daily_return_var,episodes
MULTI,"AAPL,MSFT,AMZN,GOOGL",multi_mixed_seen2_unseen2,"AAPL,MSFT,NVDA,TSLA",A2C,12012.402210235596,0.2012402210235595,-0.3273242194466639,0.6678498433873302,0.0012267140578194322,0.0008502165768158235,50
MULTI,"AAPL,MSFT,AMZN,GOOGL",multi_mixed_seen2_unseen2,"AAPL,MSFT,NVDA,TSLA",AlwaysBuy,13904.081851959229,0.3904081851959229,-0.1492266646284728,1.7842959341198676,0.0015332066460306106,0.0001860664857987496,50
MULTI,"AAPL,MSFT,AMZN,GOOGL",multi_mixed_seen2_unseen2,"AAPL,MSFT,NVDA,TSLA",AlwaysHold,10000.0,0.0,0.0,0.0,0.0,0.0,50
MULTI,"AAPL,MSFT,AMZN,GOOGL",multi_mixed_seen2_unseen2,"AAPL,MSFT,NVDA,TSLA",DQN,14334.104881286621,0.43341048812866206,-0.11749224620543579,1.9165311409324266,0.0016684996714939494,0.00019099457469143457,50
MULTI,"AAPL,MSFT,AMZN,GOOGL",multi_mixed_seen2_unseen2,"AAPL,MSFT,NVDA,TSLA",Random,13112.689976921081,0.31126899769210814,-0.16041634450691677,1.4771090874894963,0.0012510637999614113,0.0001845724950298507,50
MULTI,"AAPL,MSFT,AMZN,GOOGL",multi_seen_4,"AAPL,MSFT,AMZN,GOOGL",A2C,14333.160064697266,0.4333160064697266,-0.12861631557034164,1.6739232984215238,0.0017044533849680762,0.0002612761024705658,50
MULTI,"AAPL,MSFT,AMZN,GOOGL",multi_seen_4,"AAPL,MSFT,AMZN,GOOGL",AlwaysBuy,13563.119979858398,0.35631199798583985,-0.10109881087574005,1.8202496926527414,0.00140683785820059,0.00015053126157066484,50
MULTI,"AAPL,MSFT,AMZN,GOOGL",multi_seen_4,"AAPL,MSFT,AMZN,GOOGL",AlwaysHold,10000.0,0.0,0.0,0.0,0.0,0.0,50
MULTI,"AAPL,MSFT,AMZN,GOOGL",multi_seen_4,"AAPL,MSFT,AMZN,GOOGL",DQN,12773.370025634766,0.2773370025634765,-0.12250689608327918,1.4693764308908044,0.0011461080351109593,0.00015331530683093992,50
MULTI,"AAPL,MSFT,AMZN,GOOGL",multi_seen_4,"AAPL,MSFT,AMZN,GOOGL",Random,12785.647218322754,0.2785647218322754,-0.10352414598765641,1.6410128168840217,0.001123646434085164,0.000119394846947423,50
MULTI,"AAPL,MSFT,AMZN,GOOGL",multi_unseen_4,"NVDA,TSLA,META,JPM",A2C,11946.70147895813,0.19467014789581305,-0.14069746760077684,1.0634714859220806,0.0008590000301408197,0.00016441263847377736,50
MULTI,"AAPL,MSFT,AMZN,GOOGL",multi_unseen_4,"NVDA,TSLA,META,JPM",AlwaysBuy,15588.588771820068,0.5588588771820069,-0.1692298466071766,1.8326895819278557,0.002106314086102486,0.0003328656517687804,50
